relative_time,DecibelSource,PitchSensor
0,22.688139918496248,
39,19.09924772731952,
80,19.425229184598724,0.0
119,19.24838643015483,
160,19.86226725432926,0.0
200,36.520964780261295,
239,51.33124822209766,
249,,68.35174560546875
250,,68.35174560546875
280,59.40920610851683,68.35174560546875
319,62.84382529089703,
320,,68.35174560546875
360,63.84932134431061,
400,59.87253630275701,
459,64.01572868075485,
471,,110.91715494791667
473,,110.91715494791667
499,60.88935734329642,
500,,110.91715494791667
540,53.3835083758916,110.91715494791667
549,,110.25431315104167
580,59.87463063729297,110.25431315104167
619,62.293111229029506,
620,,110.25431315104167
642,,124.16768198164681
660,61.949919523754005,124.16768198164681
700,60.74507208166292,124.16768198164681
740,53.087527247616684,124.16768198164681
759,,132.031429971077
779,42.11425639381887,
780,,132.031429971077
820,61.20837179338865,132.031429971077
830,,69.354248046875
859,59.273922623838125,
860,,69.354248046875
900,57.852104976853,69.354248046875
939,46.43302612747439,
979,41.216658212558656,
991,,39.4140625
1020,30.996781366713385,39.4140625
1059,43.54715684821889,
1060,,39.4140625
1100,53.770089298037796,
1101,,39.4140625
1139,55.928334784911954,
1180,58.25878451166904,
1189,,113.5894775390625
1219,58.702285884456664,
1220,,113.5894775390625
1260,56.24344146711589,113.5894775390625
1267,,118.5107421875
1300,51.948339645077766,118.5107421875
1340,51.09293828599949,118.5107421875
1379,57.535115917072154,
1380,,118.5107421875
1419,58.93338727977849,
1460,55.67240928502209,
1468,,115.1082763671875
1499,45.92880791841538,
1500,,115.1082763671875
1540,50.65642348678598,115.1082763671875
1550,,58.23095703125
1580,56.88956650003676,58.23095703125
1620,54.26450060945976,58.23095703125
1659,49.74374250049699,
1700,46.45436837629995,
1760,47.22334661819308,
1768,,103.994140625
1800,56.52393919526274,103.994140625
1839,59.62050081164826,
1840,,103.994140625
1855,,116.62235005696616
1879,57.094569008544525,
1880,,116.62235005696616
1919,61.50924460108677,
1920,,116.62235005696616
1928,,121.91183132595486
1929,,121.91183132595486
1960,46.409607350888365,121.91183132595486
2000,46.966503395356554,121.91183132595486
2040,48.26623621415916,121.91183132595486
2044,,0.0
2079,50.838578718559965,
2120,43.381370164442785,
2127,,52.68863932291667
2128,,52.68863932291667
2160,52.43666162116415,52.68863932291667
2200,52.02589907457469,52.68863932291667
2239,44.54774563784952,
2280,40.48510406677882,
2285,,279.931640625
2319,50.19453517873147,
2320,,279.931640625
2360,47.423410551855156,279.931640625
2400,47.297863163009026,279.931640625
2440,45.52299392853381,
2480,51.36432823227378,
2495,,402.36958821614587
2519,52.458003763093075,
2520,,402.36958821614587
2560,47.199397140711255,402.36958821614587
2565,,226.0205078125
2600,40.55048001409928,226.0205078125
2640,44.239028178905386,226.0205078125
2680,45.796500657424055,226.0205078125
2721,56.94235831374115,
2760,53.69382510670594,
2767,,42.0751953125
2800,54.52571349935204,42.0751953125
2839,53.535796230435395,
2840,,42.0751953125
2880,51.60482845887289,
2921,51.093033141156184,
2940,,96.65811175073098
2960,51.08574923428069,96.65811175073098
3019,48.07154357583583,96.65811175073098
3060,49.173166040144096,96.65811175073098
3073,,95.60771179199219
3099,47.13885888783486,
3100,,95.60771179199219
3139,54.88351347380467,95.60771179199219
3149,,95.32389322916666
3179,61.43392401185015,95.32389322916666
3219,59.93586289983661,
3220,,95.32389322916666
3259,56.39347880814083,
3300,49.69291397954382,
3340,35.93276731428654,
3343,,0.0
3380,31.315586987149295,
3420,25.031337853093877,
3426,,192.939453125
3460,20.414962231432266,192.939453125
3500,19.075415153967544,192.939453125
3539,18.498189219743256,
3579,17.71680966956653,
3580,,0.0
3619,17.461318319409067,
3659,18.928427629090937,
3700,18.776804433567897,0.0
3740,22.288636165779884,
3779,50.476607590987484,
3794,,134.271240234375
3820,54.31484557951522,134.271240234375
3859,55.33133918720281,134.271240234375
3868,,107.01589626736113
3900,55.74279390960968,107.01589626736113
3939,56.20720570909475,
3940,,107.01589626736113
3980,48.52846726068201,107.01589626736113
3986,,111.86248779296875
4020,30.575151913948083,111.86248779296875
4060,53.67769529880085,111.86248779296875
4069,,146.54581705729169
4100,58.4247766268014,146.54581705729169
4140,59.15996147380635,146.54581705729169
4154,,132.81922403971353
4180,59.027733837546386,132.81922403971353
4220,52.30070762060204,132.81922403971353
4234,,138.97141705137312
4260,55.062573099054575,138.97141705137312
4320,55.60238900454493,138.97141705137312
4360,56.086084743225555,138.97141705137312
4371,,138.722486846301
4400,58.53500690854658,138.722486846301
4440,57.50272524200711,138.722486846301
4463,,118.11104329427083
4480,51.657497388587366,118.11104329427083
4519,56.19517644456188,
4520,,118.11104329427083
4530,,108.09244791666669
4559,53.24071786685589,
4560,,108.09244791666669
4600,42.783306824840004,108.09244791666669
4640,42.4028907392384,108.09244791666669
4649,,105.55419921875
4650,,105.55419921875
4680,52.01634760713748,105.55419921875
4720,52.15512951937168,105.55419921875
4730,,119.1748046875
4760,51.122683049466026,119.1748046875
4799,48.555805403665616,
4800,,119.1748046875
4807,,122.63834635416667
4840,56.84352107973168,122.63834635416667
4880,56.93974490798563,122.63834635416667
4890,,118.87532552083333
4920,57.446666092315255,118.87532552083333
4960,55.703800632452285,118.87532552083333
5000,51.40521240666037,118.87532552083333
5009,,110.65261840820312
5040,54.177966548361816,110.65261840820312
5084,56.01393677558762,110.65261840820312
5104,,103.79134986514136
5120,54.20541000397912,103.79134986514136
5167,50.218216629488275,103.79134986514136
5186,,103.17881266276041
5200,46.83232799899818,103.17881266276041
5240,51.88534999125571,103.17881266276041
5280,53.464000318234206,103.17881266276041
5320,53.45666345923327,
5360,54.29001303510369,
5372,,101.20524088541667
5400,52.97293898679879,
5401,,101.20524088541667
5442,50.7788185339252,
5443,,101.20524088541667
5458,,97.30256741639802
5480,48.68163068900118,97.30256741639802
5520,47.632010010114456,97.30256741639802
5533,,95.9398165679032
5579,49.04205703668535,95.9398165679032
5619,46.744548910641214,
5620,,95.9398165679032
5660,46.04018304266382,95.9398165679032
5673,,89.52510966951886
5699,49.29535355884194,
5700,,89.52510966951886
5740,50.231300099031714,89.52510966951886
5745,,48.5205078125
5780,53.11987807050757,48.5205078125
5819,43.89364401578668,
5820,,48.5205078125
5859,40.75677241599129,
5900,40.69904129684471,
5940,53.79312604080557,
5950,,2395.9521484375
5980,55.704868194288935,2395.9521484375
6019,52.41105106573238,
6020,,2395.9521484375
6059,48.81163821618355,
6100,31.72716274532949,
6108,,264.696044921875
6140,40.12904278044982,264.696044921875
6180,50.01884478236018,264.696044921875
6219,55.79914279209121,
6260,47.55034775044163,
6300,42.352933301796924,
6312,,115.40486653645834
6340,52.05938308201905,115.40486653645834
6380,47.880737528373146,115.40486653645834
6391,,103.453369140625
6419,33.80045603043762,
6420,,103.453369140625
6460,37.88351596256072,103.453369140625
6468,,57.83970424107143
6500,38.756351932073926,57.83970424107143
6540,50.99770265435241,57.83970424107143
6580,43.553660631887155,57.83970424107143
6620,50.115249512803864,
6660,41.12478328050635,
6669,,102.666015625
6670,,102.666015625
6701,22.913772756891507,
6702,,102.666015625
6739,58.245917616311765,
6740,,102.666015625
6745,,72.55615234375
6779,58.61772757973636,
6780,,72.55615234375
6819,56.55023366253818,
6820,,72.55615234375
6880,51.250308786933246,
6920,49.69689402955166,
6960,47.08609812844066,
6968,,276.810302734375
6999,25.350354401901555,
7000,,276.810302734375
7040,18.543195997338657,276.810302734375
7079,54.895306338432476,
7121,55.157325879958336,
7130,,132.16837565104166
7160,47.96287427071461,132.16837565104166
7200,45.628810025203094,132.16837565104166
7239,50.77423411460611,
7240,,132.16837565104166
7248,,125.7073974609375
7249,,125.7073974609375
7280,53.66533645266418,125.7073974609375
7320,52.325590109365514,125.7073974609375
7334,,101.09433820728812
7360,47.65220325988524,101.09433820728812
7400,51.19666424444244,101.09433820728812
7421,,129.8685767764137
7440,47.932636241952196,
7444,,129.8685767764137
7479,47.509969087734106,
7480,,129.8685767764137
7492,,93.93295070103237
7519,41.68231209499084,
7520,,93.93295070103237
7560,44.03531099022031,93.93295070103237
7599,44.11888107505624,
7600,,93.93295070103237
7610,,93.810546875
7640,44.96649548783445,93.810546875
7680,46.266086247066944,93.810546875
7688,,97.15087890625
7689,,97.15087890625
7720,47.379038154717264,97.15087890625
7760,42.79670278919046,97.15087890625
7767,,96.138916015625
7799,44.796197377327616,
7800,,96.138916015625
7840,43.79090626526511,96.138916015625
7879,36.41002651910631,
7880,,96.138916015625
7889,,61.3818359375
7920,27.65790337145102,61.3818359375
7960,21.629512637121092,61.3818359375
7964,,0.0
8000,17.93149354904667,
8040,17.623234715308165,0.0
8080,15.815783885654955,
